dataset_id,error_type,fraction,error_pct,dataset_type
725,categorical_shift,0.01,0,binary classification
725,categorical_shift,0.05,0,binary classification
725,categorical_shift,0.1,1,binary classification
725,categorical_shift,0.3,3,binary classification
725,categorical_shift,0.5,0,binary classification
310,categorical_shift,0.01,0,binary classification
310,categorical_shift,0.05,0,binary classification
310,categorical_shift,0.1,1,binary classification
310,categorical_shift,0.3,4,binary classification
310,categorical_shift,0.5,7,binary classification
1046,categorical_shift,0.01,0,binary classification
1046,categorical_shift,0.05,1,binary classification
1046,categorical_shift,0.1,2,binary classification
1046,categorical_shift,0.3,0,binary classification
1046,categorical_shift,0.5,8,binary classification
823,categorical_shift,0.01,0,binary classification
823,categorical_shift,0.05,0,binary classification
823,categorical_shift,0.1,0,binary classification
823,categorical_shift,0.3,0,binary classification
823,categorical_shift,0.5,6,binary classification
137,categorical_shift,0.01,1,binary classification
137,categorical_shift,0.05,3,binary classification
137,categorical_shift,0.1,7,binary classification
137,categorical_shift,0.3,11,binary classification
137,categorical_shift,0.5,28,binary classification
42493,categorical_shift,0.01,1,binary classification
42493,categorical_shift,0.05,4,binary classification
42493,categorical_shift,0.1,7,binary classification
42493,categorical_shift,0.3,18,binary classification
42493,categorical_shift,0.5,30,binary classification
4135,categorical_shift,0.01,1,binary classification
4135,categorical_shift,0.05,5,binary classification
4135,categorical_shift,0.1,10,binary classification
4135,categorical_shift,0.3,30,binary classification
4135,categorical_shift,0.5,50,binary classification
251,categorical_shift,0.01,0,binary classification
251,categorical_shift,0.05,0,binary classification
251,categorical_shift,0.1,1,binary classification
251,categorical_shift,0.3,3,binary classification
251,categorical_shift,0.5,5,binary classification
151,categorical_shift,0.01,0,binary classification
151,categorical_shift,0.05,0,binary classification
151,categorical_shift,0.1,1,binary classification
151,categorical_shift,0.3,5,binary classification
151,categorical_shift,0.5,10,binary classification
40922,categorical_shift,0.01,0,binary classification
40922,categorical_shift,0.05,0,binary classification
40922,categorical_shift,0.1,1,binary classification
40922,categorical_shift,0.3,0,binary classification
40922,categorical_shift,0.5,7,binary classification
40498,categorical_shift,0.01,0,multiclass classification
40498,categorical_shift,0.05,0,multiclass classification
40498,categorical_shift,0.1,1,multiclass classification
40498,categorical_shift,0.3,2,multiclass classification
40498,categorical_shift,0.5,4,multiclass classification
30,categorical_shift,0.01,0,multiclass classification
30,categorical_shift,0.05,0,multiclass classification
30,categorical_shift,0.1,1,multiclass classification
30,categorical_shift,0.3,3,multiclass classification
30,categorical_shift,0.5,4,multiclass classification
1459,categorical_shift,0.01,0,multiclass classification
1459,categorical_shift,0.05,1,multiclass classification
1459,categorical_shift,0.1,1,multiclass classification
1459,categorical_shift,0.3,3,multiclass classification
1459,categorical_shift,0.5,6,multiclass classification
1481,categorical_shift,0.01,0,multiclass classification
1481,categorical_shift,0.05,3,multiclass classification
1481,categorical_shift,0.1,5,multiclass classification
1481,categorical_shift,0.3,14,multiclass classification
1481,categorical_shift,0.5,27,multiclass classification
184,categorical_shift,0.01,1,multiclass classification
184,categorical_shift,0.05,5,multiclass classification
184,categorical_shift,0.1,9,multiclass classification
184,categorical_shift,0.3,25,multiclass classification
184,categorical_shift,0.5,43,multiclass classification
375,categorical_shift,0.01,0,multiclass classification
375,categorical_shift,0.05,0,multiclass classification
375,categorical_shift,0.1,1,multiclass classification
375,categorical_shift,0.3,2,multiclass classification
375,categorical_shift,0.5,3,multiclass classification
32,categorical_shift,0.01,0,multiclass classification
32,categorical_shift,0.05,0,multiclass classification
32,categorical_shift,0.1,1,multiclass classification
32,categorical_shift,0.3,2,multiclass classification
32,categorical_shift,0.5,2,multiclass classification
41027,categorical_shift,0.01,0,multiclass classification
41027,categorical_shift,0.05,0,multiclass classification
41027,categorical_shift,0.1,1,multiclass classification
41027,categorical_shift,0.3,3,multiclass classification
41027,categorical_shift,0.5,3,multiclass classification
6,categorical_shift,0.01,0,multiclass classification
6,categorical_shift,0.05,0,multiclass classification
6,categorical_shift,0.1,1,multiclass classification
6,categorical_shift,0.3,2,multiclass classification
6,categorical_shift,0.5,3,multiclass classification
40685,categorical_shift,0.01,0,multiclass classification
40685,categorical_shift,0.05,0,multiclass classification
40685,categorical_shift,0.1,1,multiclass classification
40685,categorical_shift,0.3,3,multiclass classification
40685,categorical_shift,0.5,5,multiclass classification
