,petal length (cm),target
0,1.4,0
1,1.4,0
2,1.3,0
3,1.5,0
4,1.4,0
5,1.7,0
6,1.4,0
7,1.5,0
8,1.4,0
9,1.5,0
10,1.5,0
11,1.6,0
12,1.4,0
13,1.1,0
14,1.2,0
15,1.5,0
16,1.3,0
17,1.4,0
18,1.7,0
19,1.5,0
20,1.7,0
21,1.5,0
22,1.0,0
23,1.7,0
24,1.9,0
25,1.6,0
26,1.6,0
27,1.5,0
28,1.4,0
29,1.6,0
30,1.6,0
31,1.5,0
32,1.5,0
33,1.4,0
34,1.5,0
35,1.2,0
36,1.3,0
37,1.4,0
38,1.3,0
39,1.5,0
40,1.3,0
41,1.3,0
42,1.3,0
43,1.6,0
44,1.9,0
45,1.4,0
46,1.6,0
47,1.4,0
48,1.5,0
49,1.4,0
50,4.7,1
51,4.5,1
52,4.9,1
53,4.0,1
54,4.6,1
55,4.5,1
56,4.7,1
57,3.3,1
58,4.6,1
59,3.9,1
60,3.5,1
61,4.2,1
62,4.0,1
63,4.7,1
64,3.6,1
65,4.4,1
66,4.5,1
67,4.1,1
68,4.5,1
69,3.9,1
70,4.8,1
71,4.0,1
72,4.9,1
73,4.7,1
74,4.3,1
75,4.4,1
76,4.8,1
77,5.0,1
78,4.5,1
79,3.5,1
80,3.8,1
81,3.7,1
82,3.9,1
83,5.1,1
84,4.5,1
85,4.5,1
86,4.7,1
87,4.4,1
88,4.1,1
89,4.0,1
90,4.4,1
91,4.6,1
92,4.0,1
93,3.3,1
94,4.2,1
95,4.2,1
96,4.2,1
97,4.3,1
98,3.0,1
99,4.1,1
100,6.0,2
101,5.1,2
102,5.9,2
103,5.6,2
104,5.8,2
105,6.6,2
106,4.5,2
107,6.3,2
108,5.8,2
109,6.1,2
110,5.1,2
111,5.3,2
112,5.5,2
113,5.0,2
114,5.1,2
115,5.3,2
116,5.5,2
117,6.7,2
118,6.9,2
119,5.0,2
120,5.7,2
121,4.9,2
122,6.7,2
123,4.9,2
124,5.7,2
125,6.0,2
126,4.8,2
127,4.9,2
128,5.6,2
129,5.8,2
130,6.1,2
131,6.4,2
132,5.6,2
133,5.1,2
134,5.6,2
135,6.1,2
136,5.6,2
137,5.5,2
138,4.8,2
139,5.4,2
140,5.6,2
141,5.1,2
142,5.1,2
143,5.9,2
144,5.7,2
145,5.2,2
146,5.0,2
147,5.2,2
148,5.4,2
149,5.1,2
